time_s,rms_dbfs,spectral_centroid_hz,onset_strength
24.7040,-17.8747,929.493,2.12572
24.7467,-18.4862,956.310,2.08583
24.7893,-18.3648,999.484,2.07001
24.8320,-18.4374,1090.840,1.70972
24.8747,-18.3496,1107.094,1.84988
24.9173,-18.1661,1087.569,1.97640
24.9600,-18.2850,1046.479,1.92148
25.0027,-18.0987,1032.273,1.96265
25.0453,-17.9796,1037.715,2.01332
25.0880,-17.8154,1077.178,2.01135
25.1307,-17.7913,1083.606,1.95377
25.1733,-17.7889,991.467,2.30755
25.2160,-17.7986,1019.209,2.24031
25.2587,-18.2805,1040.787,2.15973
25.3013,-18.2485,1082.460,2.01130
25.3440,-18.3350,1166.201,1.99286
25.3867,-18.0914,1163.760,1.97423
25.4293,-18.0832,1080.160,2.01714
25.4720,-18.2188,1032.525,1.97662
25.5147,-18.2215,1003.225,1.92902
25.5573,-18.4841,989.927,1.89157
25.6000,-18.5272,1009.800,1.82369
25.6427,-18.4995,1002.006,2.11533
25.6853,-18.6568,955.950,2.03474
25.7280,-18.8810,936.288,1.99912
25.7707,-18.7785,926.845,2.48233
25.8133,-18.8609,1002.749,2.14254
25.8560,-19.4964,963.944,2.29833
25.8987,-19.1249,863.463,2.57474
25.9413,-18.9935,895.653,2.59186
25.9840,-19.1562,854.014,2.55966
26.0267,-18.9128,812.702,2.67893
26.0693,-18.9267,907.983,2.59938
26.1120,-19.0256,964.867,2.58688
26.1547,-19.0861,948.505,2.92744
26.1973,-19.3863,1109.393,2.81819
26.2400,-19.7236,1277.228,2.82229
26.2827,-19.4803,1292.423,2.58241
26.3253,-18.8301,1370.278,2.63974
26.3680,-18.7545,1380.832,2.65529
26.4107,-18.9003,1253.799,2.25869
26.4533,-18.6331,1226.741,2.25108
26.4960,-18.6388,1210.157,2.13687
26.5387,-18.6738,1154.872,1.99819
26.5813,-18.4987,1131.909,1.97373
26.6240,-18.1793,1085.225,2.13744
26.6667,-18.0208,1057.210,2.07180
26.7093,-18.4741,1078.272,2.05711
26.7520,-18.5900,1133.702,2.06635
26.7947,-18.8109,1264.802,1.71433
26.8373,-18.8138,1236.572,1.76012
26.8800,-18.3977,1159.678,2.04551
26.9227,-18.6070,1056.176,1.97465
26.9653,-18.5646,986.269,1.88740
27.0080,-18.5699,949.880,1.89676
27.0507,-18.5235,960.398,1.82872
27.0933,-18.4352,948.797,1.76117
27.1360,-18.2532,804.511,2.46148
27.1787,-18.2309,830.736,2.33250
27.2213,-18.4201,864.310,2.31338
27.2640,-18.0330,896.331,2.15831
27.3067,-17.9689,998.618,2.08985
27.3493,-17.8814,1024.905,2.09224
27.3920,-17.8575,950.065,2.19266
27.4347,-17.8505,912.056,2.17102
27.4773,-17.8030,895.902,2.21200
27.5200,-18.1078,920.855,2.33547
27.5627,-18.3267,969.849,2.43087
27.6053,-18.4527,941.009,2.62786
27.6480,-18.5951,867.026,2.55204
